# Program:featureCounts v2.0.0; Command:"featureCounts" "-a" "data/7/genes.gtf" "-o" "feature_counts.txt" "data/7/SRR453566_mapped.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR453566_mapped.bam
YDL190C	IV	118707	121592	-	2886	1150
YDL189W	IV	122216	123589	+	1374	861
YDL188C	IV	123865	124998	-	1134	922
YDL187C	IV	125509	125838	-	330	1
YDL186W	IV	125616	126449	+	834	36
YDL185C-A	IV	126608	126835	-	228	5
YDL185W	IV	126787	130002	+	3216	6448
YDL184C	IV	130407	130484	-	78	13763
YDL183C	IV	130871	131833	-	963	193
YDL182W	IV	133437	134723	+	1287	9572
YDL181W	IV	135179	135436	+	258	815
YDL180W	IV	135896	137539	+	1644	620
YDL179W	IV	138291	139205	+	915	461
YDL178W	IV	139522	141114	+	1593	2173
YDL177C	IV	141209	141721	-	513	181
YDL176W	IV	142097	144223	+	2127	267
YDL175C	IV	144484	145518	-	1035	316
YDL174C	IV	145826	147589	-	1764	4270
YDL173W	IV	148191	149078	+	888	430
YDL172C	IV	148607	149086	-	480	0
YDL171C	IV	149203	155640	-	6438	5429
YDL170W	IV	156318	157904	+	1587	660
YDL169C	IV	158064	158735	-	672	41
YDL168W	IV	159604	160764	+	1161	1389
YDL167C	IV	160995	163154	-	2160	1055
YDL166C	IV	163449	164042	-	594	586
YDL165W	IV	164290	164865	+	576	426
YDL164C	IV	164987	167254	-	2268	911
YDL163W	IV	166956	167258	+	303	0
YDL162C	IV	167359	167715	-	357	4
YDL161W	IV	167714	169078	+	1365	1029
YDL160C-A	IV	169366	169608	-	243	159
YDL160C	IV	170410	171930	-	1521	452
YDL159W-A	IV	172182	172313	+	132	10
YDL159W	IV	172481	174028	+	1548	233
YDL159C-B	IV	173056	173232	-	177	0
YDL158C	IV	173866	174174	-	309	79
YDL157C	IV	174232	174588	-	357	662
YDL156W	IV	174918	176486	+	1569	259
YDL155W	IV	176773	178056	+	1284	725
YDL154W	IV	178334	181039	+	2706	206
YDL153C	IV	181186	183018	-	1833	1388
YDL152W	IV	182822	183187	+	366	0
YDL151C	IV	183318	183899	-	582	4
YDL150W	IV	183343	184611	+	1269	393
YDL149W	IV	184925	187918	+	2994	320
YDL148C	IV	188154	190586	-	2433	1688
YDL147W	IV	190924	192261	+	1338	3024
YDL146W	IV	192750	194225	+	1476	265
YDL145C	IV	194571	198176	-	3606	4017
YDL144C	IV	198662	199732	-	1071	682
YDL143W	IV	199996	201582	+	1587	3262
YDL142C	IV	201719	202570	-	852	251
YDL141W	IV	203039	205111	+	2073	844
YDL140C	IV	205360	210561	-	5202	4117
YDL139C	IV	211375	212046	-	672	135
YDL138W	IV	213351	215642	+	2292	585
YDL137W	IV	216529	217074	+	546	2799
YDL136W	IV;IV	217600;218008	217602;218367	+;+	363	8119
YDL135C	IV	218680	219288	-	609	854
YDL134C	IV	219662	220771	-	1110	995
YDL133C-A	IV	221724	221801	-	78	14250
YDL133W	IV	222427	223740	+	1314	417
YDL132W	IV	224304	226751	+	2448	1602
YDL131W	IV	227393	228715	+	1323	5320
YDL130W-A	IV	229171	229431	+	261	474
YDL130W	IV;IV	229906;230321	230019;230527	+;+	321	7359
YDL129W	IV	231024	231899	+	876	149
YDL128W	IV	232652	233887	+	1236	1409
YDL127W	IV	234927	235853	+	927	291
YDL126C	IV	236157	238664	-	2508	9735
YDL125C	IV;IV	239019;239510	239398;239606	-;-	477	1816
YDL124W	IV	240259	241197	+	939	1434
YDL123W	IV	241418	241840	+	423	320
YDL122W	IV	242552	244981	+	2430	1979
YDL121C	IV	245133	245582	-	450	1043
YDL120W	IV	245923	246447	+	525	584
YDL119C	IV	246689	247612	-	924	114
YDL118W	IV	247302	247682	+	381	6
YDL117W	IV	248581	251238	+	2658	811
YDL116W	IV	251566	253746	+	2181	865
YDL115C	IV;IV	253995;255045	254974;255126	-;-	1062	421
YDL114W-A	IV	254935	255048	+	114	0
YDL114W	IV	255604	256530	+	927	14
YDL113C	IV	256633	258555	-	1923	481
YDL112W	IV	258915	263225	+	4311	1441
YDL111C	IV	263313	264110	-	798	734
YDL110C	IV	264512	264964	-	453	538
YDL109C	IV	265258	267201	-	1944	212
YDL108W	IV;IV	267698;267807	267725;268699	+;+	921	348
YDL107W	IV	268921	269976	+	1056	311
YDL106C	IV	270222	271901	-	1680	447
YDL105W	IV	272389	273597	+	1209	165
YDL104C	IV	273653	274876	-	1224	231
YDL103C	IV	275148	276581	-	1434	848
YDL102W	IV	276872	280165	+	3294	585
YDL101C	IV	280307	281848	-	1542	603
YDL100C	IV	282112	283176	-	1065	2926
YDL099W	IV	283419	284444	+	1026	994
YDL098C	IV	284581	285165	-	585	148
YDL097C	IV	285391	286695	-	1305	3263
YDL096C	IV	286998	287324	-	327	0
YDL095W	IV	287059	289512	+	2454	3775
YDL094C	IV	289572	290081	-	510	22
YDL093W	IV	289909	292140	+	2232	597
YDL092W	IV	292781	293221	+	441	657
YDL091C	IV	293392	294759	-	1368	478
YDL090C	IV	295034	296329	-	1296	376
YDL089W	IV	296820	298274	+	1455	438
YDL088C	IV	298417	300003	-	1587	766
YDL087C	IV	300214	300999	-	786	118
YDL086W	IV	301413	302234	+	822	377
YDL086C-A	IV	301655	302089	-	435	0
YDL085C-A	IV	302464	302670	-	207	587
YDL085W	IV	303211	304848	+	1638	59
YDL084W	IV	305237	306577	+	1341	5362
YDL083C	IV;IV	306926;307766	307333;307789	-;-	432	10854
YDL082W	IV;IV	308424;308793	308427;309388	+;+	600	6962
YDL081C	IV	309802	310122	-	321	10345
YDL080C	IV	310642	312471	-	1830	603
YDL079C	IV;IV	312951;314337	314044;314748	-;-	1506	174
YDL078C	IV	315357	316388	-	1032	1719
YDL077C	IV	316971	320120	-	3150	571
YDL076C	IV	320668	321552	-	885	542
YDL075W	IV;IV	322226;322704	322282;322988	+;+	342	10035
snR63	IV	323217	323471	-	255	87
YDL074C	IV	324047	326149	-	2103	1649
YDL073W	IV	326613	329567	+	2955	997
YDL072C	IV	329836	330447	-	612	1289
YDL071C	IV	330666	331040	-	375	57
YDL070W	IV	331024	332940	+	1917	2371
YDL069C	IV	333121	333810	-	690	115
YDL068W	IV	333500	333829	+	330	13
YDL067C	IV	334217	334396	-	180	1154
YDL066W	IV	334835	336121	+	1287	3454
YDL065C	IV	336249	337277	-	1029	822
YDL064W	IV;IV	337487;337635	337524;338070	+;+	474	601
YDL063C	IV	338272	340134	-	1863	668
YDL062W	IV	339857	340282	+	426	1
YDL061C	IV	340628	340798	-	171	4988
YDL060W	IV	341619	343985	+	2367	1825
YDL059C	IV	344237	344953	-	717	580
YDL058W	IV	345665	351037	+	5373	1476
YDL057W	IV	351434	352420	+	987	167
YDL056W	IV	352877	355378	+	2502	729
YDL055C	IV	355674	356759	-	1086	13403
tK(UUU)D	IV;IV	359577;359637	359613;359672	+;+	73	6
YDL054C	IV	359825	361285	-	1461	795
YDL053C	IV	361699	362256	-	558	580
YDL052C	IV	362672	363583	-	912	1016
YDL051W	IV	363952	364779	+	828	1224
YDL050C	IV	364446	364817	-	372	10
YDL049C	IV	365068	365874	-	807	289
YDL048C	IV	366739	368211	-	1473	275
YDL047W	IV	369771	370706	+	936	1019
YDL046W	IV	371240	371761	+	522	1915
YDL045W-A	IV	372248	372535	+	288	557
YDL045C	IV	372688	373608	-	921	433
YDL044C	IV	373967	375289	-	1323	310
YDL043C	IV	375680	376480	-	801	266
YDL042C	IV	376757	378445	-	1689	199
YDL041W	IV	378102	378455	+	354	0
YDL040C	IV	378874	381438	-	2565	2009
YDL039C	IV	381985	384081	-	2097	868
YDL037C	IV	384601	385587	-	987	383
YDL036C	IV	387513	388901	-	1389	385
YDL035C	IV	389172	392057	-	2886	914
YDL034W	IV	391783	392127	+	345	18
YDL033C	IV	392659	393912	-	1254	214
YDL032W	IV	393690	394001	+	312	0
YDL031W	IV	394217	397204	+	2988	1875
YDL030W	IV	397537	399129	+	1593	415
YDL029W	IV;IV	399340;399485	399361;400638	+;+	1176	2598
YDL028C	IV	400997	403291	-	2295	581
YDL027C	IV	403695	404957	-	1263	412
YDL026W	IV	404749	405060	+	312	0
YDL025C	IV	405344	407206	-	1863	776
YDL025W-A	IV	405410	405514	+	105	0
YDL024C	IV	408451	409857	-	1407	35
YDL022C-A	IV	409808	410056	-	249	0
tA(AGC)D	IV	410379	410451	+	73	0
YDL023C	IV	411761	412081	-	321	3
YDL022W	IV	411825	413000	+	1176	1944
YDL021W	IV	413953	414888	+	936	139
YDL020C	IV	415113	416708	-	1596	1357
YDL019C	IV	417663	421514	-	3852	1579
YDL018C	IV	422833	423510	-	678	482
YDL017W	IV	424209	425732	+	1524	186
YDL016C	IV	425570	425872	-	303	128
YDL015C	IV	426002	426934	-	933	2299
YDL014W	IV	427364	428347	+	984	6513
YDL013W	IV	429067	430926	+	1860	480
YDL012C	IV;IV	431108;431473	431386;431517	-;-	324	523
YDL011C	IV	432308	432631	-	324	1
YDL010W	IV	432330	433025	+	696	130
YDL009C	IV	432925	433248	-	324	78
YDL008W	IV	433497	433994	+	498	342
tT(AGU)D	IV	434264	434336	-	73	0
YDL007C-A	IV	436567	436824	-	258	0
tS(AGA)D1	IV	437772	437853	+	82	0
YDL007W	IV	438047	439360	+	1314	4871
YDL006W	IV	439909	440754	+	846	463
YDL005C	IV	441014	442309	-	1296	667
YDL004W	IV	443029	443511	+	483	1407
YDL003W	IV	444683	446383	+	1701	1459
YDL002C	IV	446967	447578	-	612	532
YDL001W	IV	447984	449276	+	1293	473
YDR001C	IV	450220	452475	-	2256	889
YDR002W	IV	453045	453650	+	606	4119
YDR003W	IV	454122	454754	+	633	354
YDR003W-A	IV	454782	454904	+	123	84
YDR004W	IV	455201	456583	+	1383	598
YDR005C	IV;IV	456836;458098	458017;458103	-;-	1188	557
YDR006C	IV	458542	461247	-	2706	736
YDR007W	IV	461842	462516	+	675	277
YDR008C	IV	462252	462602	-	351	5
YDR009W	IV	463434	464996	+	1563	65
YDR010C	IV	465051	465383	-	333	9
YDR011W	IV	465919	470424	+	4506	1985
YDR012W	IV	471853	472941	+	1089	9958
YDR013W	IV	473157	473783	+	627	220
YDR014W	IV	474046	475989	+	1944	178
YDR014W-A	IV	477797	478285	+	489	5
YDR015C	IV	477960	478199	-	240	0
YDR016C	IV	478474	478758	-	285	320
YDR017C	IV	479115	482267	-	3153	916
YDR018C	IV	482670	483860	-	1191	24
YDR019C	IV	484163	485365	-	1203	4118
YDR020C	IV	485746	486444	-	699	238
YDR021W	IV	486804	488003	+	1200	264
YDR022C	IV	488072	488662	-	591	159
tV(UAC)D	IV	488797	488870	-	74	8
YDR023W	IV	489508	490896	+	1389	4979
YDR024W	IV	491017	491502	+	486	13
YDR025W	IV;IV	491515;491899	491559;492324	+;+	471	8910
YDR026C	IV	492556	494268	-	1713	605
YDR027C	IV	494649	497318	-	2670	872
YDR028C	IV	497835	500879	-	3045	2177
YDR029W	IV	501100	501414	+	315	143
YDR030C	IV	501753	503273	-	1521	161
YDR031W	IV	503498	503863	+	366	350
YDR032C	IV	504099	504695	-	597	1546
YDR033W	IV	508147	509109	+	963	10893
YDR034C	IV	509737	512109	-	2373	1326
YDR034C-D	IV;IV	514043;518064	518062;519356	-;-	5313	163
YDR034C-C	IV	518040	519356	-	1317	0
tL(UAA)D	IV	519743	519826	+	84	0
YDR034C-A	IV	520516	520692	-	177	2
tQ(UUG)D1	IV	520972	521043	+	72	0
YDR034W-B	IV	521314	521469	+	156	64
YDR035W	IV	521816	522928	+	1113	1846
YDR036C	IV	523211	524713	-	1503	1
YDR037W	IV	525440	527215	+	1776	390
YDR038C	IV	527422	530697	-	3276	4
YDR039C	IV	531307	534582	-	3276	0
YDR040C	IV	535192	538467	-	3276	48
YDR041W	IV	539803	540414	+	612	885
YDR042C	IV	540601	541203	-	603	18
snR47	IV	541602	541700	-	99	23
YDR043C	IV	542674	543369	-	696	401
YDR044W	IV	546642	547628	+	987	496
YDR045C	IV	547978	548310	-	333	508
YDR046C	IV	548762	550576	-	1815	930
YDR047W	IV	551860	552948	+	1089	1031
YDR048C	IV	553084	553398	-	315	0
YDR049W	IV	553254	555152	+	1899	526
YDR050C	IV	555726	556472	-	747	36395
YDR051C	IV	557056	558060	-	1005	884
YDR052C	IV	558511	560625	-	2115	652
YDR053W	IV	560249	560644	+	396	21
YDR054C	IV	561440	562327	-	888	961
YDR055W	IV	563527	564861	+	1335	1982
YDR056C	IV	565023	565640	-	618	715
YDR057W	IV	565927	567555	+	1629	607
YDR058C	IV	567723	568703	-	981	222
tR(UCU)D	IV	568882	568953	+	72	0
tD(GUC)D	IV	568964	569035	+	72	1
YDR059C	IV;IV	569234;569724	569633;569770	-;-	447	242
YDR060W	IV	570649	573726	+	3078	3432
YDR061W	IV	574164	575783	+	1620	1054
YDR062W	IV	576474	578159	+	1686	3058
YDR063W	IV	578663	579112	+	450	425
YDR064W	IV;IV	579458;580018	579478;580452	+;+	456	14707
YDR065W	IV	580687	581784	+	1098	246
YDR066C	IV	581908	582498	-	591	143
YDR067C	IV	582791	583465	-	675	373
YDR068W	IV	583713	584645	+	933	812
YDR069C	IV	584939	587719	-	2781	415
YDR070C	IV	588098	588379	-	282	18
YDR071C	IV	588827	589402	-	576	1523
YDR072C	IV	589761	591344	-	1584	1182
YDR073W	IV	592439	592948	+	510	314
YDR074W	IV	593893	596583	+	2691	1221
YDR075W	IV	597156	598082	+	927	422
YDR076W	IV	598468	599688	+	1221	167
YDR077W	IV	600793	601809	+	1017	8482
YDR078C	IV	602198	602869	-	672	301
YDR079W	IV	603064	603399	+	336	287
YDR079C-A	IV	603593	603811	-	219	287
YDR080W	IV	604008	606986	+	2979	638
YDR081C	IV	607304	610081	-	2778	805
YDR082W	IV	610441	611925	+	1485	354
YDR083W	IV	612073	613251	+	1179	940
YDR084C	IV	613405	614004	-	600	580
YDR085C	IV	614288	616150	-	1863	272
YDR086C	IV	616928	617170	-	243	1946
YDR087C	IV	617470	618306	-	837	785
YDR088C	IV	618497	619645	-	1149	401
tR(ACG)D	IV	619969	620041	-	73	0
YDR089W	IV	622112	624721	+	2610	1087
YDR090C	IV	625066	625998	-	933	395
YDR091C	IV	626708	628534	-	1827	3519
YDR092W	IV;IV	629876;630174	629905;630605	+;+	462	664
YDR093W	IV	631282	636120	+	4839	1363
YDR094W	IV	635840	636175	+	336	0
YDR095C	IV	636117	636527	-	411	3
YDR096W	IV	637139	639823	+	2685	362
YDR097C	IV	640109	643837	-	3729	1098
YDR098C	IV	644178	645035	-	858	1404
tQ(UUG)D2	IV	645153	645224	-	72	0
YDR098C-B	IV;IV	645858;649822	649820;651126	-;-	5268	133
YDR098C-A	IV	649804	651126	-	1323	0
YDR099W	IV	653607	654428	+	822	2724
YDR100W	IV	655013	655444	+	432	569
YDR101C	IV	655686	657467	-	1782	1688
YDR102C	IV	657648	657980	-	333	34
YDR103W	IV	658350	661103	+	2754	530
YDR104C	IV	661173	664910	-	3738	412
YDR105C	IV	665349	666770	-	1422	1162
YDR106W	IV	667004	667858	+	855	30
tI(AAU)D	IV	668007	668080	-	74	1
YDR107C	IV	669016	671034	-	2019	343
YDR108W	IV	671269	673365	+	2097	468
YDR109C	IV	673520	675667	-	2148	485
YDR110W	IV	676102	677802	+	1701	839
YDR111C	IV	678241	679764	-	1524	250
YDR112W	IV	679544	679852	+	309	45
YDR113C	IV	680496	681617	-	1122	386
YDR114C	IV	681924	682226	-	303	0
YDR115W	IV	682175	682492	+	318	415
YDR116C	IV	682724	683581	-	858	866
YDR117C	IV	683946	685643	-	1698	496
YDR118W	IV	685882	687840	+	1959	306
YDR118W-A	IV	687768	687884	+	117	5
YDR119W	IV	688227	690533	+	2307	2488
YDR119W-A	IV	691014	691214	+	201	33
YDR120C	IV	691549	693261	-	1713	1686
YDR121W	IV	693585	694175	+	591	310
YDR122W	IV	694700	697894	+	3195	896
YDR123C	IV	698554	699468	-	915	386
YDR124W	IV	700315	701289	+	975	152
YDR125C	IV	701397	702758	-	1362	152
YDR126W	IV	703234	704244	+	1011	218
YDR127W	IV	704484	709250	+	4767	4835
YDR128W	IV	709549	712995	+	3447	812
YDR129C	IV;IV	713340;715359	715247;715379	-;-	1929	3282
YDR130C	IV	715747	716622	-	876	338
YDR131C	IV	716790	718460	-	1671	179
YDR132C	IV	718816	720303	-	1488	252
YDR133C	IV	720962	721297	-	336	329
YDR134C	IV	721071	721481	-	411	1873
YDR135C	IV	723004	727551	-	4548	3824
YDR136C	IV	727711	728283	-	573	0
YDR137W	IV	728259	730250	+	1992	605
YDR138W	IV	730578	732836	+	2259	804
YDR139C	IV;IV	733618;733776	733702;733924	-;-	234	719
YDR140W	IV	734138	734803	+	666	273
YDR141C	IV	734901	739997	-	5097	1070
YDR142C	IV	740473	741600	-	1128	266
YDR143C	IV	742042	743874	-	1833	761
YDR144C	IV	744311	746101	-	1791	1198
YDR145W	IV	746738	748357	+	1620	1241
YDR146C	IV	748613	750742	-	2130	919
YDR147W	IV	751631	753235	+	1605	544
YDR148C	IV	753675	755066	-	1392	1288
YDR149C	IV	755555	756262	-	708	1
YDR150W	IV	755628	763874	+	8247	1926
YDR151C	IV	764178	765155	-	978	511
YDR152W	IV	765706	766503	+	798	937
YDR153C	IV	766736	767971	-	1236	783
YDR154C	IV	768403	768753	-	351	76
YDR155C	IV	768512	769000	-	489	6996
YDR156W	IV	769525	769938	+	414	339
YDR157W	IV	769931	770332	+	402	12
YDR158W	IV	770357	771454	+	1098	7539
YDR159W	IV	771877	775782	+	3906	764
YDR160W	IV	776163	778721	+	2559	517
YDR161W	IV	779043	780206	+	1164	842
YDR162C	IV	780390	781100	-	711	426
YDR163W	IV	781423	781950	+	528	362
YDR164C	IV	782041	784215	-	2175	741
YDR165W	IV	784871	786205	+	1335	1252
YDR166C	IV	786306	789221	-	2916	688
YDR167W	IV	789449	790069	+	621	860
YDR168W	IV	790328	791848	+	1521	1247
YDR169C	IV	792348	793889	-	1542	568
YDR169C-A	IV	794574	794723	-	150	17
YDR170C	IV	796193	802222	-	6030	3261
tQ(UUG)D3	IV	802731	802802	-	72	0
YDR170W-A	IV	803195	804517	+	1323	4
YDR171W	IV	806621	807748	+	1128	816
YDR172W	IV	808324	810381	+	2058	4613
YDR173C	IV	810565	811632	-	1068	316
YDR174W	IV	812110	812850	+	741	1829
YDR175C	IV	813193	814152	-	960	875
YDR176W	IV	814452	816560	+	2109	1148
YDR177W	IV	816878	817525	+	648	1313
YDR178W	IV	817950	818495	+	546	577
YDR179C	IV	818708	819196	-	489	180
YDR179W-A	IV	819433	820824	+	1392	370
YDR180W	IV	821295	825776	+	4482	515
YDR181C	IV	825910	827355	-	1446	519
YDR182W	IV	827582	829057	+	1476	976
YDR182W-A	IV	829151	829354	+	204	21
YDR183W	IV	829585	830277	+	693	215
YDR183C-A	IV	830397	830654	-	258	26
YDR184C	IV	830629	831513	-	885	381
YDR185C	IV	831934	832473	-	540	84
YDR186C	IV	832859	835492	-	2634	1471
YDR187C	IV	836228	836746	-	519	40
YDR188W	IV	836421	838061	+	1641	3421
YDR189W	IV	838392	840392	+	2001	1028
YDR190C	IV	840604	841995	-	1392	2067
YDR191W	IV	842337	843449	+	1113	113
YDR192C	IV	843569	844861	-	1293	233
YDR193W	IV	844554	844952	+	399	0
YDR194C	IV	845952	847946	-	1995	4451
YDR194W-A	IV	848071	848223	+	153	1
YDR195W	IV	848599	850200	+	1602	459
YDR196C	IV	850274	850999	-	726	460
YDR197W	IV	851228	852397	+	1170	432
YDR198C	IV	852533	853972	-	1440	356
YDR199W	IV	854175	854540	+	366	3
YDR200C	IV	854279	856093	-	1815	487
YDR201W	IV	856317	856814	+	498	282
YDR202C	IV	856898	857953	-	1056	201
YDR203W	IV	857682	857999	+	318	1
YDR204W	IV	858137	859144	+	1008	296
YDR205W	IV	859346	861520	+	2175	398
YDR206W	IV	862054	864708	+	2655	1389
YDR207C	IV	865012	867522	-	2511	517
YDR208W	IV	868224	870563	+	2340	1191
YDR209C	IV	871036	871449	-	414	437
YDR210W	IV	871074	871301	+	228	0
YDR210W-B	IV;IV	872112;873406	873404;877425	+;+	5313	233
YDR210W-A	IV	872112	873428	+	1317	0
YDR210C-D	IV;IV	878659;882623	882621;883927	-;-	5268	292
YDR210C-C	IV	882605	883927	-	1323	0
tI(UAU)D	IV;IV	884361;884458	884397;884493	+;+	73	6
YDR211W	IV	884727	886865	+	2139	2614
YDR212W	IV	887232	888911	+	1680	3257
YDR213W	IV	889751	892492	+	2742	296
YDR214W	IV	892875	893927	+	1053	2179
YDR215C	IV	894089	894502	-	414	20
YDR216W	IV	895035	899006	+	3972	247
YDR217C	IV	899551	903480	-	3930	847
YDR218C	IV	903781	905052	-	1272	37
YDR219C	IV	905455	906852	-	1398	466
YDR220C	IV	907000	907293	-	294	54
YDR221W	IV	907330	909438	+	2109	846
YDR222W	IV	910054	911301	+	1248	343
YDR223W	IV	912099	913502	+	1404	121
YDR224C	IV	914317	914712	-	396	7911
YDR225W	IV	915530	915928	+	399	5039
YDR226W	IV	916486	917154	+	669	6444
YDR227W	IV	917571	921647	+	4077	916
YDR228C	IV	921926	923806	-	1881	579
YDR229W	IV	924785	926146	+	1362	407
YDR230W	IV	926223	926570	+	348	13
YDR231C	IV	926293	926910	-	618	264
YDR232W	IV	927452	929098	+	1647	1426
YDR233C	IV	929470	930357	-	888	4863
YDR234W	IV	931129	933210	+	2082	5252
YDR235W	IV	933504	935138	+	1635	453
YDR236C	IV	935236	935892	-	657	353
YDR237W	IV	936615	937493	+	879	1213
YDR238C	IV	937895	940816	-	2922	3185
YDR239C	IV	941057	943420	-	2364	407
YDR240C	IV	943674	945152	-	1479	274
YDR241W	IV	945151	945438	+	288	78
tY(GUA)D	IV;IV	946312;946365	946350;946400	+;+	75	1
YDR242W	IV	946807	948456	+	1650	273
YDR243C	IV	948518	950284	-	1767	244
YDR244W	IV	950563	952401	+	1839	601
YDR245W	IV	952800	953981	+	1182	2283
YDR246W	IV	954288	954947	+	660	368
YDR246W-A	IV	955133	955333	+	201	9
YDR247W	IV	956013	957398	+	1386	186
YDR248C	IV	957758	958339	-	582	453
YDR249C	IV	958681	959802	-	1122	161
YDR250C	IV	960086	960361	-	276	31
YDR251W	IV	960614	963106	+	2493	1019
YDR252W	IV	963412	963861	+	450	98
YDR253C	IV	963990	964565	-	576	465
YDR254W	IV	965113	966489	+	1377	388
YDR255C	IV	966557	967822	-	1266	308
YDR256C	IV	968133	969680	-	1548	199
YDR257C	IV	969990	971474	-	1485	710
YDR258C	IV	971808	974243	-	2436	3041
YDR259C	IV	974631	975782	-	1152	133
YDR260C	IV	976717	977229	-	513	303
YDR261C	IV	977521	979209	-	1689	1029
tS(AGA)D2	IV	980974	981055	-	82	6
YDR261W-A	IV	981462	982778	+	1317	0
YDR261W-B	IV;IV	981462;982756	982754;986775	+;+	5313	289
YDR261C-D	IV;IV	987534;991045	991043;992349	-;-	4815	865
YDR261C-C	IV	991027	992349	-	1323	0
tG(GCC)D2	IV	992832	992902	+	71	12
YDR262W	IV	993134	993952	+	819	596
YDR263C	IV	994242	995534	-	1293	201
YDR264C	IV	996029	998323	-	2295	2485
YDR265W	IV	998864	999877	+	1014	375
YDR266C	IV	1000104	1002023	-	1920	1012
YDR267C	IV	1002510	1003502	-	993	697
YDR268W	IV	1004004	1005143	+	1140	378
YDR269C	IV	1005665	1005988	-	324	0
YDR270W	IV	1005675	1008689	+	3015	748
YDR271C	IV	1008395	1008766	-	372	0
YDR272W	IV	1009010	1009834	+	825	923
YDR273W	IV	1010176	1011273	+	1098	102
YDR274C	IV	1011589	1011960	-	372	111
YDR275W	IV	1012252	1012959	+	708	333
YDR276C	IV	1013476	1013643	-	168	3218
YDR277C	IV	1014401	1015702	-	1302	401
YDR278C	IV	1017001	1017318	-	318	0
tE(CUC)D	IV	1017207	1017278	-	72	0
YDR279W	IV	1019368	1020420	+	1053	372
YDR280W	IV	1020747	1021664	+	918	793
YDR281C	IV	1022007	1022321	-	315	91
YDR282C	IV	1023511	1024755	-	1245	314
YDR283C	IV	1025070	1030049	-	4980	893
YDR284C	IV	1030550	1031419	-	870	1109
YDR285W	IV	1032436	1035063	+	2628	157
YDR286C	IV	1035231	1035575	-	345	126
YDR287W	IV	1035995	1036873	+	879	295
YDR288W	IV	1037195	1038106	+	912	396
YDR289C	IV	1038280	1039509	-	1230	420
YDR290W	IV	1039370	1039699	+	330	1
YDR291W	IV	1039728	1042961	+	3234	685
YDR292C	IV	1043146	1045011	-	1866	1585
YDR293C	IV	1045640	1049392	-	3753	2936
YDR294C	IV	1050459	1052228	-	1770	1477
YDR295C	IV	1052623	1054647	-	2025	501
YDR296W	IV	1055212	1055892	+	681	711
YDR297W	IV	1056551	1057600	+	1050	856
YDR298C	IV	1058176	1058814	-	639	2521
